MatrixSize,NumThreads,SequentialTime,ParallelTime,Speedup,Efficiency
250,1,0.051939,0.047788,1.086863,1.086863
250,2,0.051939,0.025037,2.074490,1.037245
250,4,0.051939,0.012396,4.189981,1.047495
250,8,0.051939,0.011627,4.467102,0.558388
500,1,0.404120,0.401721,1.005972,1.005972
500,2,0.404120,0.203707,1.983830,0.991915
500,4,0.404120,0.105797,3.819768,0.954942
500,8,0.404120,0.082150,4.919294,0.614912
750,1,1.290771,1.290365,1.000315,1.000315
750,2,1.290771,0.659557,1.957027,0.978514
750,4,1.290771,0.352315,3.663684,0.915921
750,8,1.290771,0.271850,4.748100,0.593513
1000,1,3.843028,3.595140,1.068951,1.068951
1000,2,3.843028,1.762935,2.179903,1.089952
1000,4,3.843028,0.938128,4.096486,1.024121
1000,8,3.843028,0.673337,5.707436,0.713430
2000,1,36.324658,36.073776,1.006955,1.006955
2000,2,36.324658,18.117636,2.004934,1.002467
2000,4,36.324658,9.706792,3.742190,0.935547
2000,8,36.324658,6.707105,5.415848,0.676981
