ArraySize,ThreadCount,Schedule,ExecutionTime

5000,1,serial,0.000016
10000,1,serial,0.000037
50000,1,serial,0.000159
1000000,1,serial,0.000159

5000,2,static,0.000058
5000,3,static,0.000061
5000,4,static,0.000047
5000,5,static,0.000050
5000,6,static,0.000055
5000,7,static,0.000045
5000,8,static,0.000048

10000,2,static,0.000010
10000,3,static,0.000129
10000,4,static,0.000023
10000,5,static,0.000034
10000,6,static,0.000022
10000,7,static,0.000027
10000,8,static,0.000040

50000,2,static,0.000058
50000,3,static,0.000053
50000,4,static,0.000036
50000,5,static,0.000034
50000,6,static,0.000038
50000,7,static,0.000053
50000,8,static,0.000053

1000000,2,static,0.001137
1000000,3,static,0.000665
1000000,4,static,0.000515
1000000,5,static,0.000592
1000000,6,static,0.000495
1000000,7,static,0.000431
1000000,8,static,0.000364


5000,2,staticChunkSize,0.000070
5000,3,staticChunkSize,0.000050
5000,4,staticChunkSize,0.000046
5000,5,staticChunkSize,0.000055
5000,6,staticChunkSize,0.000048
5000,7,staticChunkSize,0.000040
5000,8,staticChunkSize,0.000040

10000,2,staticChunkSize,0.000011
10000,3,staticChunkSize,0.000110
10000,4,staticChunkSize,0.000022
10000,5,staticChunkSize,0.000021
10000,6,staticChunkSize,0.000022
10000,7,staticChunkSize,0.000025
10000,8,staticChunkSize,0.000041

50000,2,staticChunkSize,0.000053
50000,3,staticChunkSize,0.000054
50000,4,staticChunkSize,0.000044
50000,5,staticChunkSize,0.000036
50000,6,staticChunkSize,0.000044
50000,7,staticChunkSize,0.000081
50000,8,staticChunkSize,0.000064

1000000,2,staticChunkSize,0.001172
1000000,3,staticChunkSize,0.000789
1000000,4,staticChunkSize,0.000676
1000000,5,staticChunkSize,0.000727
1000000,6,staticChunkSize,0.000505
1000000,7,staticChunkSize,0.000446
1000000,8,staticChunkSize,0.000436

5000,2,dynamicChunkSize,0.000078
5000,3,dynamicChunkSize,0.000041
5000,4,dynamicChunkSize,0.000043
5000,5,dynamicChunkSize,0.000046
5000,6,dynamicChunkSize,0.000060
5000,7,dynamicChunkSize,0.000040
5000,8,dynamicChunkSize,0.000047

10000,2,dynamicChunkSize,0.000011
10000,3,dynamicChunkSize,0.000123
10000,4,dynamicChunkSize,0.000023
10000,5,dynamicChunkSize,0.000023
10000,6,dynamicChunkSize,0.000021
10000,7,dynamicChunkSize,0.000028
10000,8,dynamicChunkSize,0.000043

50000,2,dynamicChunkSize,0.000055
50000,3,dynamicChunkSize,0.000051
50000,4,dynamicChunkSize,0.000039
50000,5,dynamicChunkSize,0.000038
50000,6,dynamicChunkSize,0.000038
50000,7,dynamicChunkSize,0.000053
50000,8,dynamicChunkSize,0.000052

1000000,2,dynamicChunkSize,0.001295
1000000,3,dynamicChunkSize,0.000784
1000000,4,dynamicChunkSize,0.000481
1000000,5,dynamicChunkSize,0.000416
1000000,6,dynamicChunkSize,0.000351
1000000,7,dynamicChunkSize,0.000348
1000000,8,dynamicChunkSize,0.000332


5000,2,guided,0.000045
5000,3,guided,0.000041
5000,4,guided,0.000050
5000,5,guided,0.000039
5000,6,guided,0.000037
5000,7,guided,0.000037
5000,8,guided,0.000046

10000,2,guided,0.000009
10000,3,guided,0.000076
10000,4,guided,0.000039
10000,5,guided,0.000022
10000,6,guided,0.000023
10000,7,guided,0.000027
10000,8,guided,0.000041

50000,2,guided,0.000042
50000,3,guided,0.000044
50000,4,guided,0.000041
50000,5,guided,0.000033
50000,6,guided,0.000033
50000,7,guided,0.000060
50000,8,guided,0.000055

1000000,2,guided,0.000843
1000000,3,guided,0.000649
1000000,4,guided,0.000597
1000000,5,guided,0.000430
1000000,6,guided,0.000420
1000000,7,guided,0.000396
1000000,8,guided,0.000366

5000,2,runtime,0.000063
5000,3,runtime,0.000071
5000,4,runtime,0.000061
5000,5,runtime,0.000046
5000,6,runtime,0.000040
5000,7,runtime,0.000040
5000,8,runtime,0.000045

10000,2,runtime,0.000011
10000,3,runtime,0.000055
10000,4,runtime,0.000050
10000,5,runtime,0.000025
10000,6,runtime,0.000022
10000,7,runtime,0.000028
10000,8,runtime,0.000049

50000,2,runtime,0.000054
50000,3,runtime,0.000051
50000,4,runtime,0.000046
50000,5,runtime,0.000034
50000,6,runtime,0.000043
50000,7,runtime,0.000063
50000,8,runtime,0.000057

1000000,2,runtime,0.000961
1000000,3,runtime,0.000643
1000000,4,runtime,0.000464
1000000,5,runtime,0.000376
1000000,6,runtime,0.000481
1000000,7,runtime,0.000433
1000000,8,runtime,0.000386
